Sentiment,Tweets
[2],['  aghav Chadha AAP MLA Law department of Delhi government after conducting due diligence has given its opinion to Delhi governm…']
[4],['  espected  this  has deleted this tweet but it is a danger for  Bhai  Pl…']
[2],['  equest all to plz tag    and ask them to verify this Fake Fact Check based on a WhatsAp…']
[4],['  AAP started out as people criticising a government that was wrong\r\r\r\n\r\r\r\nMost AAP supporters are still those people amp stil…']
[0],['   Please lets not make such ridiculous comparisons he cases against AAP ministersMLAs etc did not requi…']
[0],['  Please watch the whole show I hv never given any cleanchit to ahir Hussain  ead what I have tweeted on the matter…']
[0],['  Please watch the whole show I hv never given any cleanchit to ahir Hussain  ead what I have tweeted on the matter…']
[4],['  Delhi HC also issues notice to Centre on another plea filed by an advocate seeking FI against social activist Harsh Mander J Sa…']
[4],['    here is a  year Hindu boy they put drill in his head\r\r\r\nAnkit was stabbed for  timesand…']
[4],['  he Cops heading SI for Delhi riots are also supervising the investigations into the violence at JamiaampJNUhe EC had passe…']
[0],['   \r\r\r\n\r\r\r\nIt took me  years to meet my Superstar\r\r\r\n\r\r\r\nWHA AN ICONOC GENLEMAN\r\r\r\n\r\r\r\nLOVE YOU ILL MY LAS BEAHE\r\r\r\n\r\r\r\nOUCHI…']
[0],['  Apka channel tho oz  Hindu Muslim Kar aha hai Aap isme kynu padey ho… ']
[4],['his could be an attempt to terrorize Hindus of Delhi by AAP  ']
[0],['  If u guys are comparing me with other handlers u are wrong aur galat fehmi me g rahe ho aap\r\r\r\n\r\r\r\nMore than  Major verifie…']
[4],['  espected  this  has deleted this tweet but it is a danger for  Bhai  Pl…']
[2],['  कोई बात नहीं\r\r\r\nWhen I told u u r AAP supporter u unfollow me\r\r\r\nElections नहीं है u can abuse and ask QUESIONS \r\r\r\nDuring electio…']
[4],['  AAP and people who voted for them and against communalism  a short story \r\r\r\n\r\r\r\n ']
[4],['Still AAP people Mr  support to AHI  Human value in Delhi is just  lac  Sir we give you … ']
[2],['  Several social media users have raised doubts about the authenticity of AAP councillor ahir Hussains video appeal for help…']
[2],['  Update I heard \r\r\r\nUpto  Muslins hav claimed that all their documents were burnt during riots\r\r\r\n\r\r\r\nAAP Govt will set up camps…']
[2],['  Update I heard \r\r\r\nUpto  Muslins hav claimed that all their documents were burnt during riots\r\r\r\n\r\r\r\nAAP Govt will set up camps…']
[2],['  Several social media users have raised doubts about the authenticity of AAP councillor ahir Hussains video appeal for help d…']
[4],[' Muqabla q kerti hein aap Why compare urself with anyone']
[0],['  Presenting my monthly study of the state of opeds in   amp  \r\r\r\n\r\r\r\nFebruary had stories of ho…']
[4],['  Yup you didn’t thought he would become a strong left opposition to AAP then huh  After waiting for an year to decide sud…']
[4],['  ArvindKejriwal biography in brief \r\r\r\n\r\r\r\n SS appoints puppet hey rope in Anna Hazare\r\r\r\n Corruption is an emotive issue\r\r\r\n…']
[0],['  One video played on loop does not tell the full story\r\r\r\n\r\r\r\nIn Delhi locality where AAP councillor stands accused of IB staf…']
[2],['  he govt needs to clarify if IB officer Sharma was targeted and killed at the behest of Aap’s ahir because Sharma was tailing…']
[2],['  Delhi iots What exactly happened in locality where AAP leader stands accused of IB man’s murder ']
[2],['  AAP spin doctors lying through their teeth when they say the sanction decision as unwillingness to interfere in criminal pr…']
[0],['  How to prepare petrol bomb for selfdefence Can I get training at AAP HQ']
[2],['  Y r u isolating AAP frm terrorists organzns when huge bombs compilations amp Delhigenocide never possible widout AAP Go…']
[2],['  Update I heard \r\r\r\nUpto  Muslins hav claimed that all their documents were burnt during riots\r\r\r\n\r\r\r\nAAP Govt will set up camps…']
[0],['  Very alarming situation \r\r\r\n\r\r\r\nhe govt needs to investigate  if IB officer Sharma was targeted and killed by AAP’s ahir…']
[2],['  Update I heard \r\r\r\nUpto  Muslins hav claimed that all their documents were burnt during riots\r\r\r\n\r\r\r\nAAP Govt will set up camps…']
[2],['  Update I heard \r\r\r\nUpto  Muslins hav claimed that all their documents were burnt during riots\r\r\r\n\r\r\r\nAAP Govt will set up camps…']
[4],['  Many of my followers criticized me and argued with me when I said will not support AAP during Delhi elections because t…']
[4],['  Many of my followers criticized me and argued with me when I said will not support AAP during Delhi elections because t…']
