,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @ANI: Raghav Chadha, AAP MLA: Law department of Delhi government, after conducting due diligence, has given its opinion to Delhi governm…","RT  Raghav Chadha, AAP MLA: Law department of Delhi government, after conducting due diligence, has given its opinion to Delhi governm…","RT  Raghav Chadha, AAP MLA: Law department of Delhi government, after conducting due diligence, has given its opinion to Delhi governm…","  aghav Chadha, AAP MLA: Law department of Delhi government, after conducting due diligence, has given its opinion to Delhi governm…",  aghav Chadha AAP MLA Law department of Delhi government after conducting due diligence has given its opinion to Delhi governm…,"['aghav', 'Chadha', 'AAP', 'MLA', 'Law', 'department', 'Delhi', 'government', 'conducting', 'due', 'diligence', 'given', 'opinion', 'Delhi', 'governm…']"
1,RT @indiantweeter: Respected @ghaziabadpolice this @raghavsanjay has deleted this tweet but it is a danger for @KapilMishra_IND Bhai ... Pl…,RT  Respected  this  has deleted this tweet but it is a danger for  Bhai ... Pl…,RT  Respected  this  has deleted this tweet but it is a danger for  Bhai ... Pl…,  espected  this  has deleted this tweet but it is a danger for  Bhai ... Pl…,  espected  this  has deleted this tweet but it is a danger for  Bhai  Pl…,"['espected', 'deleted', 'tweet', 'danger', 'Bhai', 'Pl…']"
2,RT @iAnkurSingh: Request all to plz tag @factchecknet @baybarsorsek @dpfunke and ask them to verify this Fake Fact Check based on a WhatsAp…,RT  Request all to plz tag    and ask them to verify this Fake Fact Check based on a WhatsAp…,RT  Request all to plz tag    and ask them to verify this Fake Fact Check based on a WhatsAp…,  equest all to plz tag    and ask them to verify this Fake Fact Check based on a WhatsAp…,  equest all to plz tag    and ask them to verify this Fake Fact Check based on a WhatsAp…,"['equest', 'plz', 'tag', 'ask', 'verify', 'Fake', 'Fact', 'Check', 'based', 'WhatsAp…']"
3,"RT @VishalDadlani: #AAP started out as people criticising a government that was wrong.

Most #AAP supporters are still those people, &amp; stil…","RT  #AAP started out as people criticising a government that was wrong.

Most #AAP supporters are still those people, &amp; stil…","RT  #AAP started out as people criticising a government that was wrong.

Most #AAP supporters are still those people, &amp; stil…","  #AAP started out as people criticising a government that was wrong.

Most #AAP supporters are still those people, &amp; stil…","  AAP started out as people criticising a government that was wrong

Most AAP supporters are still those people amp stil…","['AAP', 'started', 'people', 'criticising', 'government', 'wrong', 'Most', 'AAP', 'supporters', 'still', 'people', 'amp', 'stil…']"
4,"RT @free_thinker: @VishnuRajgadia Please, lets not make such ridiculous comparisons. The cases against AAP ministers/MLAs etc did not requi…","RT   Please, lets not make such ridiculous comparisons. The cases against AAP ministers/MLAs etc did not requi…","RT   Please, lets not make such ridiculous comparisons. The cases against AAP ministers/MLAs etc did not requi…","   Please, lets not make such ridiculous comparisons. he cases against AAP ministers/MLAs etc did not requi…",   Please lets not make such ridiculous comparisons he cases against AAP ministersMLAs etc did not requi…,"['Please', 'lets', 'make', 'ridiculous', 'comparisons', 'cases', 'AAP', 'ministersMLAs', 'etc', 'requi…']"
5,RT @abhisar_sharma: Please watch the whole show. I hv never given any cleanchit to Tahir Hussain . Read what I have tweeted on the matter.…,RT  Please watch the whole show. I hv never given any cleanchit to Tahir Hussain . Read what I have tweeted on the matter.…,RT  Please watch the whole show. I hv never given any cleanchit to Tahir Hussain . Read what I have tweeted on the matter.…,  Please watch the whole show. I hv never given any cleanchit to ahir Hussain . ead what I have tweeted on the matter.…,  Please watch the whole show I hv never given any cleanchit to ahir Hussain  ead what I have tweeted on the matter…,"['Please', 'watch', 'whole', 'show', 'I', 'hv', 'never', 'given', 'cleanchit', 'ahir', 'Hussain', 'ead', 'I', 'tweeted', 'matter…']"
6,RT @abhisar_sharma: Please watch the whole show. I hv never given any cleanchit to Tahir Hussain . Read what I have tweeted on the matter.…,RT  Please watch the whole show. I hv never given any cleanchit to Tahir Hussain . Read what I have tweeted on the matter.…,RT  Please watch the whole show. I hv never given any cleanchit to Tahir Hussain . Read what I have tweeted on the matter.…,  Please watch the whole show. I hv never given any cleanchit to ahir Hussain . ead what I have tweeted on the matter.…,  Please watch the whole show I hv never given any cleanchit to ahir Hussain  ead what I have tweeted on the matter…,"['Please', 'watch', 'whole', 'show', 'I', 'hv', 'never', 'given', 'cleanchit', 'ahir', 'Hussain', 'ead', 'I', 'tweeted', 'matter…']"
7,"RT @ANI: Delhi HC also issues notice to Centre on another plea filed by an advocate seeking FIR against social activist Harsh Mander, RJ Sa…","RT  Delhi HC also issues notice to Centre on another plea filed by an advocate seeking FIR against social activist Harsh Mander, RJ Sa…","RT  Delhi HC also issues notice to Centre on another plea filed by an advocate seeking FIR against social activist Harsh Mander, RJ Sa…","  Delhi HC also issues notice to Centre on another plea filed by an advocate seeking FI against social activist Harsh Mander, J Sa…",  Delhi HC also issues notice to Centre on another plea filed by an advocate seeking FI against social activist Harsh Mander J Sa…,"['Delhi', 'HC', 'also', 'issues', 'notice', 'Centre', 'another', 'plea', 'filed', 'advocate', 'seeking', 'FI', 'social', 'activist', 'Harsh', 'Mander', 'J', 'Sa…']"
8,"RT @nonexpertvivek: @jihadwatchRS @PJMedia_com There is a 19 year Hindu boy they put drill in his head.
Ankit was stabbed for 400 times,and…","RT    There is a 19 year Hindu boy they put drill in his head.
Ankit was stabbed for 400 times,and…","RT    There is a 19 year Hindu boy they put drill in his head.
Ankit was stabbed for 400 times,and…","    here is a  year Hindu boy they put drill in his head.
Ankit was stabbed for  times,and…","    here is a  year Hindu boy they put drill in his head
Ankit was stabbed for  timesand…","['year', 'Hindu', 'boy', 'put', 'drill', 'head', 'Ankit', 'stabbed', 'timesand…']"
9,RT @pbhushan1: The Cops heading SIT for Delhi riots are also supervising the investigations into the violence at Jamia&amp;JNU.The EC had passe…,RT  The Cops heading SIT for Delhi riots are also supervising the investigations into the violence at Jamia&amp;JNU.The EC had passe…,RT  The Cops heading SIT for Delhi riots are also supervising the investigations into the violence at Jamia&amp;JNU.The EC had passe…,  he Cops heading SI for Delhi riots are also supervising the investigations into the violence at Jamia&amp;JNU.he EC had passe…,  he Cops heading SI for Delhi riots are also supervising the investigations into the violence at JamiaampJNUhe EC had passe…,"['Cops', 'heading', 'SI', 'Delhi', 'riots', 'also', 'supervising', 'investigations', 'violence', 'JamiaampJNUhe', 'EC', 'passe…']"
