Sentiment,Tweets
[0],['  LIVE  BJP MP  slams the ukde gang in the Lok Sabha\r\r\r\nhere is nothing antiMuslim about CAA says ejasvi…']
[4],['  Must say  has managed to get two of the most suave articulate grounded amp politically sharp satraps on its side…']
[2],['  Who is L Murugan the new BJP amil Nadu President ']
[2],['Its not about Congress or BJPIts about  He opted for greed instead of ideology and patienceBJP i… ']
[0],['  Eight months ago Jyotiraditya Scindia said ‘BJP tries to grab power through back door’ \r\r\r\nhe Indian Express\r\r\r\nJyotiradityaScind…']
[2],['  he govt should provide relief to the people by bringing petrol amp diesel under GS reducing fuel prices amp immediately withdr…']
[0],['  Meenakshi Lekhi BJP replying to Adhir anjan Chowdhury in LS “If you are going to allege that Mussolini was Hedgewar’s i…']
[2],['  Petrol ates BJP States\r\r\r\n\r\r\r\nUttar Pradesh  s lit\r\r\r\nKarnataka  s lit\r\r\r\nGujarat  s lit\r\r\r\n\r\r\r\nPetrol ates No…']
[0],['  Confirmed  BJP sending Jyotiraditya Scindia to ajya Sabha Will soon be MPScindia  ']
[0],['  LIVE  BJP MP  slams the ukde gang in the Lok Sabha\r\r\r\nhere is nothing antiMuslim about CAA says ejasvi…']
[2],[' oday India seen how politicians change for own benefit \r\r\r\n\r\r\r\nhe man who was talking against  ']
[0],['  StopDemographicZehad\r\r\r\n\r\r\r\nU can understand the reality of bjp it cell ']
[2],['  International crude oil prices have seen a sharp fall but the real benefit of the same is not being passed on to the people…']
[4],['  Must say  has managed to get two of the most suave articulate grounded amp politically sharp satraps on its side…']
[2],['  BJP will be operated upon by surgeons like us if they dare MPlike ‘operation’ in Maharashtra Shiv Sena leader Sanjay au…']
[2],['  What is wrong with BJP MPs Instead of discussing Delhi riots they are talking about riots during Nehru amp Indira Gandhi era in…']
[0],['  LIVE  BJP MP  slams the ukde gang in the Lok Sabha\r\r\r\nhere is nothing antiMuslim about CAA says ejasvi…']
[4],['  If ajmata Sahab was here today she would be elated to see you put the NationFirst \r\r\r\n\r\r\r\nI admire your strength of charac…']
[2],['  By strategizing Jyotiraditya Scindia entry into BJP Amit Shah has made a dramatic political comeback after DelhiMaharas…']
[2],['  BJP has issued a whip to its ajya Sabha MPs to be present in House tomorrow as the Minerals Laws Amendment Bill  and the In…']
[2],['  WACH N SHAE\r\r\r\n\r\r\r\nAAP MP  speaks on Delhiiots in Parliament\r\r\r\n\r\r\r\nWhy was Kapil Mishra and Anurag hakur not arr…']
[0],['As a true Sanghi he entered the BJP with a bang by honoring its traditions of telling lies amp distorting history😀 ']
[0],['  सिंधियाकामहलनीलामकरो BJP has only one talent seen from  to  \r\r\r\n\r\r\r\nStealing Public money \r\r\r\n\r\r\r\nhe most funny thing is…']
[0],['  StopDemographicZehad\r\r\r\n\r\r\r\nU can understand the reality of bjp it cell ']
[2],['  I think its time the BJP gave the more riots during Congress rule line a rest Congress was in power for  of the  ye…']
[0],['  LIVE  BJP MP  slams the ukde gang in the Lok Sabha\r\r\r\nhere is nothing antiMuslim about CAA says ejasvi…']
[2],['  Congratulations  on your appointment as the new State President of elangana Sanjay Garu I wish you a very s…']
[4],['  In Short Amit Shah saying\r\r\r\n\r\r\r\n Delhi Police was flawless\r\r\r\n iots were controlled quickly\r\r\r\n MHA was prompt in action\r\r\r\n…']
[0],['  LIVE  BJP MP  slams the ukde gang in the Lok Sabha\r\r\r\nhere is nothing antiMuslim about CAA says ejasvi…']
[0],['  LIVE  BJP MP  slams the ukde gang in the Lok Sabha\r\r\r\nhere is nothing antiMuslim about CAA says ejasvi…']
[2],['  What is wrong with BJP MPs Instead of discussing Delhi riots they are talking about riots during Nehru amp Indira Gandhi era in…']
[4],['   years ago he predicted exactly what Indias image could be he communal poison spread by BJP can cause Indias image i…']
[2],['  We strongly condem attacks on BJP Karyakartas in different parts of the Andhra Pradesh state by YSCP workers and cadets \r\r\r\nWe…']
[4],['BJP was not happy with congress iots \r\r\r\nhey created their own in Delhi\r\r\r\n\r\r\r\nLokSabha']
[2],['  rd candidate of BJP can cut both ways if opposition to announce  candidate not as simple… ']
[2],['  JyotiradityaMScindia resigned from  yesterday\r\r\r\n\r\r\r\n Congress MLAs sent their resignation letters to MP Speaker thr…']
[0],['  StopDemographicZehad\r\r\r\n\r\r\r\nU can understand the reality of bjp it cell ']
[2],['  BJP leader Meenakshi Lekhi delivers fiery speech at the Lok Sabha Lists out the statistics of riots under the Congress…']
[2],['  Once anyone joins BJP they dont answer questions\r\r\r\nhey only read the script given to them']
[2],['  Now that Scindia has joined BJP he has suddenly become a\r\r\r\nImportant politician with mass following\r\r\r\n Descendent of a great…']
[4],['   Mr Pilot Despite being a BJP supporter I was happy that youll be leading aj… ']
[0],['rying to keep MLAs intact by literally hounding them like cattles in hotel reflects the character amp moral values… ']
[2],['  BJP Gives ajya Sabha icket o Jyotiraditya Scindia From MP o Support amdas Athawale’s Candidature\r\r\r\n\r\r\r\n']
[2],['  he BJP saw Scindia as talent \r\r\r\nhe Congress saw him as a threat \r\r\r\n\r\r\r\nhat’s the difference']
[0],['  Dear  I saw your first presser as a BJP leader It felt odd seeing you with the saffron party scarf \r\r\r\n\r\r\r\nYou are…']
[2],['  LIVE Shri  joins BJP in presence of BJP National President Shri  ']
[2],['  Petrol ates BJP States\r\r\r\n\r\r\r\nUttar Pradesh  s \r\r\r\nKarnataka  s \r\r\r\nHimanchal Pradesh s \r\r\r\nHaryana s …']
[2],['   Koi chance nahi Pilot Ji come to  and help retain cm of bjp Madam  ji']
[4],['  Benaulim MLA churchil Alemao on Wednesday alleged that it was Sardinha who brought BJP to power and alleged his involvement…']
[4],['  Watch Kapil Mishra on how Modi shelters terrorists amp how he can never join the BJP oday he is the poster boy of BJPS mus…']
